Name	ID	State	Network	County	Elevation_ft	Latitude	Longitude	HUC	Date_of_Data	Date_Report_Created	Value_inches	Percent_NRCS_1981_2010_Average	Percent_NRCS_1981_2010_Median	Percent_of_POR_Average	Percent_of_POR_Median	Percent_of_Water_Year_Peak	Percent_of_Average_Water_Year_Peak_POR	Percent_of_Median_Water_Year_Peak_POR	POR_Median_Departure_inches	Percentile_POR	Maximum_Rank_POR	Minimum_Rank_POR	Records_POR	Percent_of_Saturation	NRCS_1981_2010_Average_inches	NRCS_1981_2010_Median_inches	POR_Average_inches	POR_Median_inches	Minimum_POR_inches	Maximum_POR_inches	Year_of_Minimum_POR	Year_of_Maximum_POR	Number_of_Observations_POR	Saturation_inches
Blind Bull Sum	"353	"	Wyoming	SNOTEL	Sublette	8650	42.964	-110.60973	"140401010402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.8	84	92	82	91	100	56	62	-1.5	32	27	13			18.7	17.1	19.33	17.3	11.1	36.2	1981	1997	39	
Blind Park	"354	"	South Dakota	SNOTEL	Pennington	6890	44.10772	-103.97688	"101201100104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7	117	119	117	121	99	86	86	1.2	82	6	24			6	5.9	5.99	5.8	3	11.5	2002	1994	29	
Bloods Creek	"BLD	"	California	Cooperator Snow Sensors	Alpine	7200	38.45	-120.033	"180400100301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	23.43	21.1	4.6	41.6	2015	1983	37	
Bloody Dick	"355	"	Montana	SNOTEL	Beaverhead	7600	45.16507	-113.50099	"100200011002	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.8	76	77	75	76	100	52	54	-2.1	17	36	8			9	8.8	9.11	8.9	3.4	17	1977	1997	43	
Blue Canyon	"BLC2	"	California	Cooperator Snow Sensors	Placer	5280	39.276	-120.708	"180201280105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	9.36	7.5	0	34.6	"2003, 2014, 2015, more"	1969	41	
Blue Lakes	"356	"	California	SNOTEL	Alpine	8067	38.608	-119.92437	"180400120101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	38.5	167	174	171	179	100	120	128	17	95	3	37			23	22.1	22.49	21.5	4.6	46.3	1991	2017	39	
Blue Mountain Spring	"357	"	Oregon	SNOTEL	Grant	5870	44.24767	-118.51722	"170501160104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"															14.3	13.8	13.67	13.45	6.3	22.2	2018	2006	40	
Bobs Hollow	"1278	"	Utah	SNOTEL	Millard	9319	38.94569	-112.15349	"160300051401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13			117	100	100	98	98	0	50	2	2					11.07	13	6.8	13.4	2018	2017	3	
Bogus Basin	"978	"	Idaho	SNOTEL	Boise	6340	43.76377	-116.09685	"170501220201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	21.8	109	122	123	129	100	89	84	4.95	74	6	15			20	17.8	17.71	16.85	10.4	24.8	2018	2004	20	
Bonanza King	"BNK	"	California	Cooperator Snow Sensors	Trinity	6450	41.083	-122.628	"180102110304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	26.57	28.85	0	70	2015	1998	32	
Bone Springs Div	"358	"	Wyoming	SNOTEL	Sheridan	9350	44.67888	-107.5811	"100800100102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.2	89	91	87	91	100	52	54	-1	34	26	12			11.5	11.2	11.69	11.2	7.8	15.6	2001	1986	39	
Boss Mountain Mine	"1C20P	"	British Columbia	Cooperator Snow Sensors	"	"	4846	52.1	-120.86667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	18.56	17.9	12	27.9	2003	1999	25	
Bostetter R.S.	"359	"	Idaho	SNOTEL	Cassia	7500	42.16442	-114.19272	"170402120201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.1	106	129	111	132	100	85	93	3.9	68	13	27			15.2	12.5	14.44	12.2	5.7	39.1	1981	1984	39	
Boulder Mountain	"360	"	Montana	SNOTEL	Meagher	7950	46.5596	-111.28973	"100301030501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.7	107	109	104	105	100	68	68	0.8	60	17	25			14.7	14.4	15.06	14.9	8.8	22.2	2005	1997	41	
Bourne	"361	"	Oregon	SNOTEL	Baker	5850	44.83052	-118.18787	"170502030101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16	115	122	119	125	100	95	98	3.2	70	13	29			13.9	13.1	13.41	12.8	5.9	22.8	2005	1983	41	
Bowman Springs	"362	"	Oregon	SNOTEL	Umatilla	4530	45.36428	-118.46715	"170701030401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.3	168	176	171	176	100	136	138	5.3	88	6	36			7.3	7	7.2	7	0	17.3	2015	1989	41	
Box Canyon	"363	"	Montana	SNOTEL	Park	6670	45.2719	-110.24903	"100700020902	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.9	95	99	92	100	99	66	69	0	50	21	19			7.3	7	7.49	6.9	4.6	14.6	2010	1997	41	
Box Creek	"364	"	Utah	SNOTEL	Sevier	9853	38.50809	-112.01856	"160300020106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.9			76	77	100	50	51	-2.1	26	30	11					9.09	9	1	16.1	2018	2005	40	
Box Springs	"1156	"	Utah	SNOTEL	Piute	9228	38.49746	-112.00779	"160300020107	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.6			130	131	100	108	106	1.8	88	2	8	2nd Highest				5.84	5.8	3.2	9	2018	2011	9	
Brackett Creek	"365	"	Montana	SNOTEL	Gallatin	7320	45.89107	-110.93851	"100700030403	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.2	123	135	115	120	100	71	75	3	71	8	18			14.8	13.5	15.78	15.2	9.3	26.9	2001	1997	25	
Brenda Mines	"2F18P	"	British Columbia	Cooperator Snow Sensors	"	"	4767	49.85	-119.98333	"170200060808	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	11.18	10.6	6.9	15.9	2009	1996	26	
Brian Head	"1154	"	Utah	SNOTEL	Iron	10039	37.67994	-112.85674	"160300060201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.8			164	162	100	117	114	7.2	100	1	8	Highest				11.49	11.6	6.2	18.8	2018	2019	8	
Brighton	"366	"	Utah	SNOTEL	Salt Lake	8766	40.59936	-111.58167	"160202040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.5	141	148	143	154	100	98	100	8.6	91	4	30			17.4	16.6	17.18	15.9	10.5	27.8	2012	2005	33	
Bristlecone Trail	"1111	"	Nevada	SNOTEL	Clark	8890	36.31575	-115.69543	"150100150206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.9			176	211	100	173	225	8.9	80	3	9					9.58	8	2.2	22	"2014, 2018"	2011	11	
Brooklyn Lake	"367	"	Wyoming	SNOTEL	Albany	10240	41.35885	-106.23209	"101800100502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.6	109	115	105	111	100	65	68	1.65	65	14	25			15.2	14.4	15.78	14.95	7.8	29.6	1981	1997	38	
Brown Duck	"368	"	Utah	SNOTEL	Duchesne	10574	40.58102	-110.58587	"140600030604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.4	133	142	131	144	100	84	93	5.6	83	8	34			13.8	13	14.08	12.8	7.9	28.6	2018	2005	41	
Brown Top	"1080	"	Washington	SNOTEL	Whatcom	5830	48.92755	-121.19713	"171100050601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	43			89	88	100	58	58	-5.6	11	9	2	2nd Lowest				48.53	48.6	38	57.3	2015	2016	10	
Brumley	"369	"	Colorado	SNOTEL	Lake	10600	39.08766	-106.5417	"110200010101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.8	131	138	126	136	100	81	87	2.6	79	9	30			7.5	7.1	7.75	7.2	2.9	12.9	1981	1984	39	
Brundage Reservoir	"370	"	Idaho	SNOTEL	Adams	6250	45.04315	-116.13253	"170602100104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	26.9	129	128	127	127	100	93	93	5.65	77	8	25			20.9	21	21.18	21.25	11.1	36.2	2001	1999	32	
Buck Flat	"371	"	Utah	SNOTEL	Sanpete	9409	39.134	-111.43722	"140600090302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.7	110	119	111	120	100	77	88	2.4	57	18	24			13.4	12.4	13.29	12.3	5.1	26.9	1981	1997	41	
Buck Pasture	"1192	"	Utah	SNOTEL	Summit	9632	40.84456	-110.66068	"140401070301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.7			127	126	98	93	81	2.4	86	2	7	2nd Highest				9.2	9.3	0	15.6	2012	2017	8	
Buckboard Flat	"1153	"	Utah	SNOTEL	San Juan	8924	37.86943	-109.44717	"140802030103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.2			134	140	100	115	108	3.5	100	1	7	Highest				9.07	8.7	5.5	12.2	2018	2019	7	
Buckinghorse	"1107	"	Washington	SNOTEL	Jefferson	4870	47.7086	-123.45747	"171100200501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	36.4			93	85	99	58	55	-6.4	30	8	4					39.03	42.8	5	53.6	2015	2013	11	
Bucks Lake	"BKL	"	California	Cooperator Snow Sensors	Plumas	5750	39.85	-121.242	"180201230702	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	31.51	34.9	0	70.5	2015	1983	43	
Buckskin Joe	"938	"	Colorado	SNOTEL	Park	11150	39.3035	-106.11307	"101900010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.5	131	135	126	126	100	69	67	1.75	84	4	15			6.5	6.3	6.73	6.75	3	9.9	2002	2014	20	
Buckskin Lower	"373	"	Nevada	SNOTEL	Humboldt	6930	41.75067	-117.53182	"160401090502	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.7	134	141	137	145	100	101	103	3.3	79	9	30			8	7.6	7.79	7.4	0.5	16.5	2015	1984	39	
Buffalo Park	"913	"	Colorado	SNOTEL	Grand	9240	40.22861	-106.59528	"140100010706	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.1	106	114	102	101	99	75	75	0.1	57	11	13			10.5	9.7	10.9	11	6	16.5	2002	2014	24	
Bug Lake	"374	"	Utah	SNOTEL	Rich	7987	41.68541	-111.41987	"160102010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.5	112	120	109	116	100	79	83	2.3	65	15	26			14.7	13.8	15.12	14.2	6.8	28.7	2010	1997	41	
Bumping Ridge	"375	"	Washington	SNOTEL	Yakima	4610	46.81003	-121.33058	"170300020105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20.1	93	94	96	97	100	72	72	-0.55	43	22	17			21.6	21.3	20.9	20.65	2.4	42.5	2005	1999	38	
Bunchgrass Mdw	"376	"	Washington	SNOTEL	Pend Oreille	5000	48.68688	-117.17633	"170102160401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.5	89	89	93	99	100	65	68	-0.1	47	20	17			21.8	21.8	21.06	19.6	11.4	37.3	2015	1997	37	
Burgess Junction	"377	"	Wyoming	SNOTEL	Sheridan	7880	44.78765	-107.52917	"100901010202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.2	79	81	80	81	100	45	46	-1.5	16	32	7			7.8	7.7	7.79	7.7	4.9	10.8	2016	1990	38	
Burnside Lake	"1051	"	California	SNOTEL	Alpine	8129	38.71943	-119.8942	"160502010107	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	34.9	173	160	177	176	100	132	141	15.1	93	2	15	2nd Highest		20.2	21.8	19.71	19.8	5.9	44.8	2012	2017	16	
Burnt Bridge Creek	"3C08P	"	British Columbia	Cooperator Snow Sensors	"	"	4360	52.46667	-126.23333	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	25.51	24.4	0.3	45.9	2009	2012	20	
Burnt Mountain	"942	"	Washington	SNOTEL	Pierce	4170	47.0444	-121.94032	"171100140103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.8	106	105	114	104	100	64	69	0.5	63	8	13			13	13.2	12.07	13.3	0	27.3	2015	2008	20	
Burnt Mtn	"981	"	Montana	SNOTEL	Carbon	5880	45.2401	-109.45961	"100700060802	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.5	162	145	144	141	100	95	96	1.6	88	3	16			3.4	3.8	3.83	3.9	1.2	6.6	2005	2014	18	
Burro Mountain	"378	"	Colorado	SNOTEL	Rio Blanco	9400	39.87505	-107.59853	"140500050302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.9	102	106	106	113	100	69	75	1.45	62	16	25			12.6	12.2	12.17	11.45	5.5	23.8	1981	1997	40	
Burroughs Creek	"379	"	Wyoming	SNOTEL	Fremont	8750	43.69733	-109.67021	"100800010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.6			59	64	100	42	46	-3.75	5	38	3					11.13	10.35	6.3	20.9	2010	1997	40	
Burts Miller Ranch	"1135	"	Utah	SNOTEL	Summit	8000	40.98492	-110.85075	"160101010105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.2			109	108	98	77	85	0.4	67	4	7					4.75	4.8	3	7.2	2010	2011	10	
Butte	"380	"	Colorado	SNOTEL	Gunnison	10160	38.89433	-106.953	"140200010206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.6	103	112	104	110	100	74	79	1.1	61	16	24			11.3	10.4	11.11	10.5	4.7	19.5	1981	1986	39	
Calamity	"1109	"	Washington	SNOTEL	Skamania	2500	45.90362	-122.21633	"170800020603	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.8			222	433	100	112	132	6	90	2	10	2nd Highest				3.52	1.8	0	14.6	"2010, 2015, 2016"	2009	11	
Calvert Creek	"381	"	Montana	SNOTEL	Deer Lodge	6430	45.8838	-113.32553	"100200040801	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.4	93	97	91	94	100	72	74	-0.4	40	27	16			6.9	6.6	7.01	6.8	2.8	14.8	1977	1997	44	
Camas Creek Divide	"382	"	Idaho	SNOTEL	Elmore	5710	43.26548	-115.3453	"170402200101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.8	129	122	124	123	100	105	103	2.4	77	7	21			9.9	10.5	10.31	10.4	3.3	16.1	2018	1993	27	
Camp Jackson	"383	"	Utah	SNOTEL	San Juan	8858	37.81333	-109.48723	"140802010301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.2	129	149	133	144	100	105	113	4.65	76	9	26			11.8	10.2	11.45	10.55	2.8	29.6	1996	"1993, 2005"	34	
Canyon	"384	"	Wyoming	SNOTEL	Park	7870	44.71961	-110.51084	"100700010705	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.3	91	94	90	95	100	65	70	-0.5	42	23	17			10.2	9.9	10.37	9.8	6	20.9	1981	1997	39	
Caples Lake	"CAP	"	California	Cooperator Snow Sensors	Alpine	8000	38.71	-120.042	"180201290101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	22.14	22.8	3.6	48.1	1977	2017	45	
Carrot Basin	"385	"	Montana	SNOTEL	Gallatin	9000	44.96192	-111.29403	"100200080105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.1	95	99	92	95	100	59	55	-1	42	31	21			20.1	19.2	20.78	20.1	8.2	35.5	1977	1997	53	
Carson Pass	"1067	"	California	SNOTEL	Alpine	8360	38.6927	-120.0022	"180201290101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	38	153	173	160	165	100	109	126	15	93	2	14	2nd Highest		24.9	22	23.78	23	8.9	46	2012	2017	15	
Casa Vieja Meadows	"CSV	"	California	Cooperator Snow Sensors	Tulare	8300	36.2	-118.268	"180300010401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	15.07	13.65	1.8	32.2	2015	2017	32	
Cascade	"386	"	Colorado	SNOTEL	San Juan	8880	37.65083	-107.80602	"140801040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.8	114	115	111	115	100	88	87	1.7	65	15	27			11.2	11.1	11.48	11.1	0.9	23.5	1981	1979	41	
Cascade #2	"387	"	Colorado	SNOTEL	San Juan	8920	37.658	-107.80268	"140801040201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.7	113	139	119	136	100	100	113	3.1	75	8	21			10.4	8.4	9.84	8.6	0.8	28.8	2015	1997	29	
Cascade Mountain	"1039	"	Utah	SNOTEL	Utah	7774	40.283	-111.60992	"160202030505	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17	102	111	125	123	100	95	100	3.2	75	5	13			16.7	15.3	13.61	13.8	4.8	19.2	2018	2009	17	
Cascade Summit	"388	"	Oregon	SNOTEL	Deschutes	5100	43.59042	-122.0601	"170900010301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.8	94	97	98	100	100	72	74	0	50	20	19			25.2	24.5	24.26	23.8	5.7	40.3	2015	1999	39	
Casper Mtn.	"389	"	Wyoming	SNOTEL	Natrona	7900	42.73389	-106.31861	"101800070804	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.7	107	113	110	116	99	63	66	1.5	67	13	25			10	9.5	9.75	9.2	4.4	16.9	2013	1997	37	
Castle Creek	"1130	"	Wyoming	SNOTEL	Fremont	8400	43.6748	-109.3774	"100800010401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3			50	55	97	36	36	-2.5	0	9	1	Lowest				6	5.5	3	10.1	2019	2017	9	
Castle Valley	"390	"	Utah	SNOTEL	Iron	9607	37.66098	-112.74093	"160300010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.8	123	135	124	138	100	83	90	3.5	74	11	29			10.4	9.5	10.3	9.3	4.6	24.6	1981	2005	39	
Cave Mountain	"1152	"	Nevada	SNOTEL	White Pine	10578	39.16337	-114.6133	"160600080402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5			130	141	100	96	108	3.05	71	3	6					8.07	7.45	2.9	13.6	2018	2017	8	
Cayuse Pass	"1085	"	Washington	SNOTEL	Pierce	5240	46.86954	-121.5343	"171100140301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	37.4			91	85	100	58	55	-6.6	33	9	5					41.32	44	9.2	57.3	2015	2008	13	
Cedar Kiteen	"4B18P	"	British Columbia	Cooperator Snow Sensors	"	"	2992	55.15	-128.7	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	21.54	17.4	10.8	36.7	2010	2012	17	
Cedar Pass	"391	"	California	SNOTEL	Modoc	7030	41.58233	-120.3025	"180200020603	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17	121	123	126	125	100	87	85	3.4	68	14	28			14.1	13.8	13.52	13.6	2.7	24	2015	1998	41	
Celista Mountain	"1F06P	"	British Columbia	Cooperator Snow Sensors	"	"	5030	51.4	-118.98333	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	27.18	27.05	20.6	35.4	2017	2007	12	
Chagoopa Plateau	"CHP	"	California	Cooperator Snow Sensors	Tulare	10300	36.497	-118.442	"180300010203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	15.34	13.75	2	47.4	1991	2017	32	
Chalender	"1139	"	Arizona	SNOTEL	Coconino	7100	35.26247	-112.06231	"150602020305	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.2			165	221	100	117	135	2.3	78	3	8					2.54	1.9	0	9.6	"2014, 2015, 2017"	2010	10	
Chalk Creek #1	"392	"	Utah	SNOTEL	Summit	9171	40.85464	-111.04765	"160201010301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.6	103	109	105	112	100	70	71	2	65	15	27			18	17	17.74	16.6	9.8	33.6	1981	1986	41	
Chalk Creek #2	"393	"	Utah	SNOTEL	Summit	8208	40.88529	-111.06954	"160201010301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.8	84	88	85	93	100	58	58	-0.7	28	30	12			11.7	11.1	11.54	10.5	6.6	18.9	"2010, 2018"	1997	41	
Chamita	"394	"	New Mexico	SNOTEL	Rio Arriba	8400	36.95636	-106.65682	"130201020204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.3	117	121	118	126	100	94	100	2.1	67	14	27			8.8	8.5	8.71	8.2	2.9	18.5	"1990, 2018"	1980	40	
Chapman Tunnel	"1101	"	Colorado	SNOTEL	Pitkin	10110	39.26217	-106.62931	"140100040504	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.9			112	106	100	79	78	0.65	64	5	8					10.67	11.25	5.7	15.8	2013	2008	12	
Chemult Alternate	"395	"	Oregon	SNOTEL	Klamath	4850	43.22625	-121.80662	"180102010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.5	100	98	106	97	100	89	92	-0.3	47	21	19			8.5	8.7	8.04	8.8	0	17.4	"1981, 2015"	1993	39	
Chepeta	"396	"	Utah	SNOTEL	Duchesne	10499	40.77458	-110.0105	"140600031202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.9	110	116	113	125	100	72	79	2.4	79	9	31			10.8	10.3	10.49	9.5	4.4	29.4	2018	2005	39	
Chilkoot Meadow	"CHM	"	California	Cooperator Snow Sensors	Madera	7150	37.41	-119.49	"180400061101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	24.38	23.55	0	54.2	"2015, 2018"	2005	32	
Chilliwack River	"1D17P	"	British Columbia	Cooperator Snow Sensors	"	"	5318	49.01667	-121.7	"171100010206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	44.46	48.6	19.5	65	2005	2007	25	
Chisana	"1093	"	Alaska	SNOTEL	Valdez-Cordova	3320	62.069	-142.049	"190803010305	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	1.3	33	33	43	45	81	33	34	-1.6	0	11	1	Lowest		3.9	3.9	3.03	2.9	1.3	4.7	2019	2009	11	
Chocolate Gulch	"895	"	Idaho	SNOTEL	Blaine	6310	43.7685	-114.41812	"170402190301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11	104	106	109	116	99	86	88	1.5	72	8	18			10.6	10.4	10.05	9.5	5.5	19.3	2001	"1997, 2017"	26	
Cinnabar Park	"1046	"	Wyoming	SNOTEL	Albany	9574	41.23837	-106.23095	"101800100503	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.1	88	93	96	96	100	72	67	-0.55	47	9	7			17.1	16.2	15.69	15.65	11.3	20.8	2013	2011	16	
Clackamas Lake	"398	"	Oregon	SNOTEL	Clackamas	3400	45.09658	-121.75443	"170900110301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.6	86	81	94	89	100	74	73	-1.2	47	21	18			11.1	11.8	10.26	10.8	0	21.5	"1981, 2015"	2008	39	
Clayton Springs	"983	"	Utah	SNOTEL	Garfield	10049	37.9725	-111.83355	"160300020501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.9	109	114	118	136	100	87	95	2.9	72	6	14			10	9.6	9.25	8	4.5	20.3	2002	2005	19	
Clear Creek #1	"399	"	Utah	SNOTEL	Utah	8975	39.86671	-111.28363	"160202020102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.1	127	125	127	126	100	91	97	3.7	75	11	31			14.2	14.5	14.3	14.4	5.5	27.6	1987	1997	41	
Clear Creek #2	"400	"	Utah	SNOTEL	Utah	7837	39.89275	-111.25154	"160202020102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13	124	123	122	124	100	89	91	2.5	68	14	28			10.5	10.6	10.62	10.5	4.8	19.3	2018	1997	41	
Clear Lake	"401	"	Oregon	SNOTEL	Wasco	3810	45.18832	-121.6916	"170703060901	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.3	70	67	79	87	100	61	60	-1.2	47	21	19			11.8	12.3	10.55	9.5	0	24.3	2015	2008	39	
Cloud Peak Reservoir	"402	"	Wyoming	SNOTEL	Johnson	9860	44.40343	-107.06057	"100902060301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.9	87	90	88	90	97	48	49	-1	35	27	13			10.2	9.9	10.16	9.9	5.9	16.4	1981	1986	41	
Clover Meadow	"403	"	Montana	SNOTEL	Madison	8600	45.01788	-111.8456	"100200070803	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.4	94	99	97	101	100	59	64	0.1	60	17	22			12.1	11.5	11.78	11.3	8	17.9	2017	1997	41	
Cochetopa Pass	"1059	"	Colorado	SNOTEL	Saguache	10020	38.16283	-106.59883	"130100040203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.2	173	179	150	153	100	120	117	1.8	100	1	15	Highest		3	2.9	3.47	3.4	1.9	5.2	2013	2019	15	
Cold Springs	"405	"	Wyoming	SNOTEL	Fremont	9630	43.27676	-109.44585	"100800010702	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5	91	94	86	91	96	56	62	-0.5	37	23	13			5.5	5.3	5.81	5.5	2.5	10.8	2001	1986	36	
Cold Springs Camp	"406	"	Oregon	SNOTEL	Klamath	5940	42.53305	-122.17683	"180102030202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20	77	76	85	88	100	66	63	-2.85	41	23	16			26	26.2	23.64	22.85	0	42.2	2015	1999	38	
Coldfoot	"958	"	Alaska	SNOTEL	Yukon-Koyukuk	1040	67.25333	-150.183	"190901010604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.4	168	184	176	181	100	138	138	4.2	100	1	23	Highest		5.6	5.1	5.35	5.2	2.1	9.4	1996	"2005, 2019"	24	
Cole Canyon	"982	"	Wyoming	SNOTEL	Crook	5910	44.48632	-104.41057	"101202030302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.3	113	113	124	126	100	87	92	1.1	83	4	16			4.7	4.7	4.26	4.2	1.9	6.6	2005	2011	19	
